DepthHabitat,zone,short_term,beta_coef,ci_low,ci_high
Surface,Low,warming,-0.7207072220009803,-1.0255407127142178,-0.4158737312877427
Surface,Mid,warming,1.453523426373978,0.01152068139216067,2.8955261713557956
Surface,Mid,cooling,3.612312453859384,3.0919746238636314,4.132650283855137
Surface,Low,cooling,5.212537089649633,4.337631968321384,6.087442210977882
Surface.subsurface,Low,warming,-0.30718500476627364,-0.5721999351648632,-0.04217007436768405
Surface.subsurface,Mid,warming,1.7221658951500987,0.4165582892085651,3.027773501091632
Surface.subsurface,Mid,cooling,2.7496778033912195,2.1729064897987134,3.3264491169837256
Surface.subsurface,Low,cooling,3.808923821436875,2.740717109847628,4.877130533026122
Surface.subsurface,High,warming,1.805385440934,0.2529058791983607,3.357865002669639
Surface.subsurface,High,cooling,0.45945491893030066,0.20116873906123478,0.7177410987993665
Subsurface,Mid,warming,1.2971402801940504,-0.07781480438254196,2.6720953647706427
Subsurface,Mid,cooling,3.2788872622201315,2.693650916960884,3.864123607479379
Subsurface,Low,cooling,4.538045633571637,3.8057059293965807,5.270385337746694
Subsurface,Low,warming,-0.10432901808685617,-0.5168441323441804,0.30818609617046805
Subsurface,High,cooling,-0.18501721004550784,-0.6894993018357544,0.31946488174473864
Surface,High,cooling,0.26672071329100916,-0.3174764809117357,0.8509179074937541
Surface,High,warming,3.8629749566199143,0.18989453300824577,7.536055380231582
Subsurface,High,warming,1.6203817403106573,-0.41220676195467476,3.6529702425759893
Original,Low,warming,0.27854114874005487,4.8345386912690413e-4,0.5565988436109828
Original,Mid,warming,0.8149849634937747,0.06309044644666195,1.5668794805408874
Original,Mid,cooling,0.3188712628981113,-0.00202965545666605,0.6397721812528887
Original,Low,cooling,3.278382009465575,2.2396805488985,4.31708347003265
Original,High,warming,3.677021033370919,1.8400763083594331,5.513965758382405
Original,High,cooling,0.2056418030980371,-0.12318151815797018,0.5344651243540444
