zone,short_term,beta_coef,ci_low,ci_high,type
Low,warming,0.27854114874005487,4.8345386912690413e-4,0.5565988436109828,Fixed Effects
Mid,warming,0.8149849634937747,0.06309044644666195,1.5668794805408874,Fixed Effects
Mid,cooling,0.3188712628981113,-0.00202965545666605,0.6397721812528887,Fixed Effects
Low,cooling,3.278382009465575,2.2396805488985,4.31708347003265,Fixed Effects
High,warming,3.677021033370919,1.8400763083594331,5.513965758382405,Fixed Effects
High,cooling,0.2056418030980371,-0.12318151815797018,0.5344651243540444,Fixed Effects
Low,warming,-0.24368488738719515,-0.5916067360056636,0.14630216343171798,Random Effects
Mid,warming,0.5995849389514929,-0.24538155898498953,1.3800470123985944,Random Effects
Mid,cooling,0.5550180988670904,0.19630607219434074,0.9313182387944777,Random Effects
Low,cooling,3.5865278185275065,2.5040558438798737,4.732228640242,Random Effects
High,warming,3.577291784736201,1.7480799253754926,5.2982240061431325,Random Effects
High,cooling,0.33029439292438223,0.007876187671717376,0.6632106499929488,Random Effects
Low,warming,0.254385801160119,-0.029919281484104276,0.5386908838043423,Younger than 400ka
Mid,warming,0.7998652368706497,0.04489822311179881,1.5548322506295005,Younger than 400ka
Mid,cooling,0.32492849457535267,0.0015737788811386877,0.6482832102695666,Younger than 400ka
Low,cooling,3.278382009465575,2.2396805488985,4.31708347003265,Younger than 400ka
High,warming,3.8388766385764277,1.8839064139835942,5.793846863169261,Younger than 400ka
High,cooling,0.2260797195735205,-0.13284341636532862,0.5850028555123696,Younger than 400ka
Low,warming,-0.7955704462470232,-1.4305338228598132,-0.16060706963423332,Older than 4ka
Mid,warming,0.6309985655318453,-0.8233772025158292,2.08537433357952,Older than 4ka
Mid,cooling,0.12897185546381873,-0.4469697668334002,0.7049134777610376,Older than 4ka
Low,cooling,4.278780833883462,0.11371613104768574,8.443845536719238,Older than 4ka
High,warming,2.7905870557100902,1.4059217453411637,4.175252366079016,Older than 4ka
High,cooling,0.3131712773760995,0.0339165671143879,0.5924259876378111,Older than 4ka
High,warming,3.448415393351929,1.2212218448873555,5.6756089418165026,Proxy data
High,cooling,0.14576596267643427,-0.26562673106463847,0.5571586564175071,Proxy data
