zone,short_term,beta_coef,ci_low,ci_high,source_data
Low,warming,0.21490712035054413,-0.1304151929108491,0.5602294336119373,Interquartile
Mid,warming,1.0661605068295874,0.03783558555036204,2.094485428108813,Interquartile
Mid,cooling,-0.17577949334932255,-0.6767693039194517,0.3252103172208066,Interquartile
Low,cooling,2.9440130238673854,1.4932925277832976,4.394733519951473,Interquartile
High,warming,3.64158515261871,1.449381395848878,5.8337889093885424,Interquartile
High,cooling,0.10330690940408327,-0.25185613726955214,0.4584699560777187,Interquartile
Low,warming,0.37622163942625647,0.08967888885274661,0.6627643899997664,Outerquartile
Mid,warming,0.47850367080860945,-0.2989210763418506,1.2559284179590695,Outerquartile
Mid,cooling,0.26642087870809655,-0.06178388267296592,0.594625640089159,Outerquartile
Low,cooling,3.130832297499337,2.1119704658462775,4.1496941291523965,Outerquartile
High,warming,3.6512226576956506,1.8927977587069664,5.409647556684335,Outerquartile
High,cooling,0.23289709649900622,-0.09187984739523944,0.5576740403932519,Outerquartile
Low,warming,0.16506426476585723,-0.062330743537613725,0.39245927306932815,Sample Top
Mid,warming,0.7856472855087506,-0.0120831035491904,1.5833776745666917,Sample Top
Mid,cooling,0.7042752031435932,0.37763147203478925,1.030918934252397,Sample Top
Low,cooling,3.7193711734919574,2.8028239327763624,4.635918414207552,Sample Top
High,warming,3.8846935845374824,2.1766001629061886,5.592787006168776,Sample Top
High,cooling,0.38555626699840406,0.0686551917190813,0.7024573422777268,Sample Top
Low,warming,0.27854114874005487,4.8345386912690413e-4,0.5565988436109828,Original
Mid,warming,0.8149849634937747,0.06309044644666195,1.5668794805408874,Original
Mid,cooling,0.3188712628981113,-0.00202965545666605,0.6397721812528887,Original
Low,cooling,3.278382009465575,2.2396805488985,4.31708347003265,Original
High,warming,3.677021033370919,1.8400763083594331,5.513965758382405,Original
High,cooling,0.2056418030980371,-0.12318151815797018,0.5344651243540444,Original
